OK,PK,LN,SK,DT
930482,742167,757733,16603,432590
724251,457880,43189,238244,408866
85310,88003,161682,554756,84989
342787,293052,705034,454675,887993
60832,270346,732476,557328,438027
237180,508178,253685,907692,621279
321908,563550,619543,54661,859913
132509,273639,169414,544524,601504
883421,166407,605434,713151,830951
492242,78925,794832,293562,854536
386502,124683,371654,69438,50806
287109,21524,103886,433632,529797
864883,506543,346598,456574,597084
468469,590507,442100,911668,845725
344026,551868,759471,280742,980051
871701,725429,647695,327503,829404
96736,687561,233427,207323,422369
99756,229505,146486,706315,771241
13491,449126,474726,431798,92079
320163,57559,446693,628386,101109
164973,283791,149808,963217,478683
120013,682975,494918,679545,246634
525660,360878,904520,928068,114153
784284,815363,965383,775082,210024
552665,170993,814016,673837,436284
471974,592491,928187,657655,555503
118989,497338,631140,506347,759744
797808,153103,462285,270045,465666
641849,387452,323156,700676,551492
634489,250550,631132,630347,43406
14697,754382,549798,302269,971591
131013,110729,537097,266861,391401
960758,320345,24839,18200,33698
812220,454977,707481,408755,815623
479254,479835,982957,760811,484969
449049,832537,163778,320285,902969
65525,169607,873385,534471,149281
232632,150425,462187,631733,111402
823188,547319,835147,57556,145607
376634,81440,569795,70577,596428
230168,711968,166827,305854,898235
497706,862056,238534,381836,869979
119633,339339,608624,870671,19915
593678,988709,232885,139264,381932
216702,978154,925961,369075,333750
292815,573227,855468,910763,931410
539507,455966,199761,517537,539074
45987,176726,525239,928082,690457
923450,29371,152954,805808,595539
195864,503579,104884,373614,804741
982670,764323,819909,347495,922052
904234,275635,798633,862277,688632
551078,901363,748566,753145,417448
788779,688779,293642,397881,339052
823077,778051,161546,419211,745002
787782,99802,151621,77054,86572
167646,119320,393661,218667,635456
50938,718202,990909,633729,27216
976912,610665,722592,574551,222072
910469,841603,611488,336017,805696
334333,339670,625198,746506,73136
684993,788700,397364,112497,632737
339552,342694,708889,670006,543238
161267,426003,639032,163574,312722
478083,32151,306568,735595,877329
819638,643259,428228,174511,62227
127999,637835,665091,968193,10737
206556,406529,679036,240674,309940
701391,562642,634508,929291,500866
156841,716621,47687,558258,513292
708182,566745,216510,113454,654832
299370,427525,459218,329717,502544
338340,565774,541247,727083,107599
520722,727540,848903,979368,774185
874987,727764,388981,820930,275589
877177,588189,769681,838520,13580
893607,953198,777971,987830,766051
314365,58319,152918,377083,872822
961559,625199,145476,704622,731890
90099,650731,326486,769388,816815
194660,744755,834232,129245,846008
124379,913506,900242,345342,967617
158202,904666,184129,187846,691760
83562,709046,900868,997607,858860
536824,767225,913337,217960,268583
228524,568529,169475,861109,125866
883122,36483,847125,295660,164435
238261,807624,455060,608008,753826
603027,339539,593913,606022,481802
688805,955515,55223,871699,173366
783360,338911,752693,521734,165040
436122,989430,370247,223754,470088
602793,476203,972276,557342,317798
740231,876367,724068,940132,768113
356464,161594,955368,648974,789399
814515,381355,293075,576188,299526
951641,742978,49584,728666,273526
607776,416969,649795,695778,373994
56467,446642,554945,256661,840946
56287,212373,528328,127130,867522
689391,878507,671395,82035,749922
581468,842327,486438,596476,958095
660111,956109,153000,229148,580361
993310,609568,162934,86457,944550
586953,113886,827315,738058,294744
562539,515413,459718,195192,511135
406049,573964,206322,309689,951687
610921,267557,895252,20495,203947
660203,989314,309306,917758,606569
